Timestamp,Container,CPU,MemUsage,MemPerc
1769446642,python-bench,2.04%,164.2MB / 12.21GB,1.35%
1769446643,go-bench,43.99%,138.5MB / 12.21GB,1.13%
1769446643,java-bench,32.93%,1.526GB / 12.21GB,12.50%
1769446643,python-bench,2.03%,164.2MB / 12.21GB,1.35%
1769446645,go-bench,43.76%,138.5MB / 12.21GB,1.13%
1769446645,java-bench,34.46%,1.529GB / 12.21GB,12.52%
1769446645,python-bench,2.03%,164.2MB / 12.21GB,1.35%
1769446646,go-bench,43.55%,138.5MB / 12.21GB,1.13%
1769446646,java-bench,35.88%,1.531GB / 12.21GB,12.54%
1769446646,python-bench,2.02%,164.2MB / 12.21GB,1.35%
1769446647,go-bench,43.34%,138.5MB / 12.21GB,1.13%
1769446647,java-bench,37.26%,1.533GB / 12.21GB,12.56%
1769446647,python-bench,2.02%,164.2MB / 12.21GB,1.35%
1769446649,go-bench,43.12%,138.5MB / 12.21GB,1.13%
1769446649,java-bench,38.74%,1.535GB / 12.21GB,12.57%
1769446649,python-bench,2.01%,164.2MB / 12.21GB,1.35%
1769446650,go-bench,42.92%,138.5MB / 12.21GB,1.13%
1769446650,java-bench,39.95%,1.538GB / 12.21GB,12.60%
1769446650,python-bench,2.27%,166.3MB / 12.21GB,1.36%
1769446651,go-bench,42.73%,138.5MB / 12.21GB,1.13%
1769446651,java-bench,40.85%,1.54GB / 12.21GB,12.61%
1769446651,python-bench,2.83%,167.9MB / 12.21GB,1.38%
1769446653,go-bench,42.51%,138.5MB / 12.21GB,1.13%
1769446653,java-bench,41.94%,1.541GB / 12.21GB,12.63%
1769446653,python-bench,3.57%,169.7MB / 12.21GB,1.39%
1769446654,go-bench,42.31%,138.5MB / 12.21GB,1.13%
1769446654,java-bench,42.96%,1.543GB / 12.21GB,12.64%
1769446654,python-bench,4.32%,171.8MB / 12.21GB,1.41%
1769446655,go-bench,42.07%,138.5MB / 12.21GB,1.13%
1769446655,java-bench,43.98%,1.545GB / 12.21GB,12.66%
1769446655,python-bench,5.23%,174.1MB / 12.21GB,1.43%
1769446657,go-bench,41.86%,138.5MB / 12.21GB,1.13%
1769446657,java-bench,44.92%,1.553GB / 12.21GB,12.72%
1769446657,python-bench,6.09%,176.1MB / 12.21GB,1.44%
1769446658,go-bench,41.67%,138.5MB / 12.21GB,1.13%
1769446658,java-bench,45.77%,1.554GB / 12.21GB,12.73%
1769446658,python-bench,6.98%,178.2MB / 12.21GB,1.46%
1769446660,go-bench,41.47%,138.5MB / 12.21GB,1.13%
1769446660,java-bench,46.58%,1.557GB / 12.21GB,12.75%
1769446660,python-bench,7.93%,180.1MB / 12.21GB,1.48%
1769446661,go-bench,41.26%,138.5MB / 12.21GB,1.13%
1769446661,java-bench,47.61%,1.774GB / 12.21GB,14.53%
1769446661,python-bench,8.96%,182.2MB / 12.21GB,1.49%
1769446663,go-bench,41.03%,138.5MB / 12.21GB,1.13%
1769446663,java-bench,48.44%,1.776GB / 12.21GB,14.55%
1769446663,python-bench,10.09%,184.3MB / 12.21GB,1.51%
1769446664,go-bench,40.83%,138.5MB / 12.21GB,1.13%
1769446664,java-bench,49.37%,1.778GB / 12.21GB,14.57%
1769446664,python-bench,11.27%,186.6MB / 12.21GB,1.53%
1769446666,go-bench,40.64%,138.5MB / 12.21GB,1.13%
1769446666,java-bench,50.21%,1.933GB / 12.21GB,15.83%
1769446666,python-bench,12.40%,188.7MB / 12.21GB,1.55%
1769446667,go-bench,40.42%,138.5MB / 12.21GB,1.13%
1769446667,java-bench,51.13%,1.948GB / 12.21GB,15.96%
1769446667,python-bench,13.66%,191.2MB / 12.21GB,1.57%
1769446668,go-bench,40.22%,138.5MB / 12.21GB,1.13%
1769446668,java-bench,52.13%,1.97GB / 12.21GB,16.14%
1769446668,python-bench,14.84%,193.1MB / 12.21GB,1.58%
1769446670,go-bench,40.04%,138.5MB / 12.21GB,1.13%
1769446670,java-bench,53.07%,2.043GB / 12.21GB,16.74%
1769446670,python-bench,15.98%,195MB / 12.21GB,1.60%
1769446671,go-bench,39.87%,138.5MB / 12.21GB,1.13%
1769446671,java-bench,53.84%,2.121GB / 12.21GB,17.37%
1769446671,python-bench,17.04%,196MB / 12.21GB,1.61%
1769446673,go-bench,39.69%,138.5MB / 12.21GB,1.13%
1769446673,java-bench,54.34%,2.121GB / 12.21GB,17.37%
1769446673,python-bench,18.18%,196.9MB / 12.21GB,1.61%
1769446674,go-bench,39.53%,138.5MB / 12.21GB,1.13%
1769446674,java-bench,55.01%,2.121GB / 12.21GB,17.37%
1769446674,python-bench,19.18%,198MB / 12.21GB,1.62%
1769446675,go-bench,39.37%,138.5MB / 12.21GB,1.13%
1769446675,java-bench,55.10%,2.121GB / 12.21GB,17.37%
1769446675,python-bench,20.35%,198.9MB / 12.21GB,1.63%
1769446676,go-bench,39.21%,138.5MB / 12.21GB,1.13%
1769446676,java-bench,54.89%,2.121GB / 12.21GB,17.37%
1769446676,python-bench,21.54%,199.8MB / 12.21GB,1.64%
1769446677,go-bench,39.05%,138.5MB / 12.21GB,1.13%
1769446677,java-bench,54.68%,2.121GB / 12.21GB,17.37%
1769446677,python-bench,22.77%,200.8MB / 12.21GB,1.64%
1769446679,go-bench,38.90%,138.5MB / 12.21GB,1.13%
1769446679,java-bench,54.47%,2.121GB / 12.21GB,17.37%
1769446679,python-bench,23.97%,201.6MB / 12.21GB,1.65%
1769446680,go-bench,38.75%,138.5MB / 12.21GB,1.13%
1769446680,java-bench,54.25%,2.121GB / 12.21GB,17.37%
1769446680,python-bench,25.16%,202.5MB / 12.21GB,1.66%
1769446681,go-bench,38.58%,138.5MB / 12.21GB,1.13%
1769446681,java-bench,54.02%,2.121GB / 12.21GB,17.37%
1769446681,python-bench,26.58%,203.6MB / 12.21GB,1.67%
1769446682,go-bench,38.42%,138.5MB / 12.21GB,1.13%
